Id,Designator,Footprint,Quantity,Designation,LCSC #,Price/unit,Total Price,Link
1,Shock Cord - 1500 lb,Kevlar cord,4,Good quality,$6.50,$6.50,https://www.mach1rocketry.com/product-page/kevlar-shock-cords
2,Centering Rings,G10 fiberglass rings,2,Precise and durable,$8.00,$16.00,https://www.mach1rocketry.com/product-page/g10-fiberglass-centering-rings
3,29mm MMT,Fiberglass motor mount tube,1,9 in,$11.25,$11.25,https://www.mach1rocketry.com/product-page/fiberglass-motor-mount-tubes
4,3M 2 Filter Respirator,Respirator for fiberglass dust,100,Essential protection,$45.00,$4500.00,https://www.amazon.com/3M-7513PA1-Professional-Organic-Respirator/dp/B0009JNF1I
5,I205 14A 29mm Motor,High-performance rocket motor,1,Heart of the rocket,$64.00,$64.00,https://aerotech-rocketry.com/products/product_6195f3f3-6684-3bea-d54d-0b09b58c0427
6,Carbon Fiber 3K Twill Weave,Carbon fabric for nosecone,15 ft,Cost-effective replacement,$99.95,$1499.25,https://sollercompositesllc.com/product/3k-carbon-twill-weave-sold-by-the-running-yard-roll/
7,40mm Airframe,Fiberglass airframe tube,3 ft,Lightweight and affordable,$39.00,$117.00,https://www.mach1rocketry.com/product-page/fiberglass-airframe-tubes
8,38mm AvBay Tube,Fiberglass avionics tube,5 in,Houses avionics,$8.75,$8.75,https://www.mach1rocketry.com/product-page/fiberglass-coupler-tubes
9,0.9g Charge Wells,Charge holder tube,2,Holds ejection charges,$8.00,$16.00,https://www.mach1rocketry.com/product-page/charge-wells
10,Eggtimer Quark (Backup),Backup flight computer,1,Redundancy and safety,$25.00,$25.00,https://eggtimerrocketry.com/purchase/
11,HighTel (Main Flight Computer),Custom flight computer,1,See GitHub repository,N/A,N/A,https://github.com/tomaselstein1705-lgtm/HighTel
12,Terminal Blocks,Connection terminal block,1,Connect pyro igniters,$2.50,$2.50,https://www.machrocketry.com/product-page/terminal-blocks
13,M4 Eye Nuts,Metal eye nuts with bolts,3,Strong and affordable,$6.00,$18.00,https://www.mach1rocketry.com/product-page/eye-nuts
14,Thin Mill Drogue Chute (9"),Drogue parachute,1,Slows rocket before main deploy,$6.00,$6.00,https://www.mach1rocketry.com/product-page/top-flight-thin-mill-parachutes
15,Thin Mill Parachute (24"),Main parachute,1,Reduces landing speed,$19.00,$19.00,https://www.mach1rocketry.com/product-page/top-flight-thin-mill-parachutes
16,Table Top Epoxy (2 Quart),Structural epoxy,1,Tip-to-tip reinforcement,$34.00,$34.00,https://www.totalboat.com/products/table-top-epoxy-crystal-clear-resin
17,Aeropoxy ES6209,Structural fiberglass epoxy,1,Strong bonding,$40.00,$40.00,https://giantleaprocketry.com/products/aeropoxy-structural-adhesive-kit-2-gallon
18,6oz Fiberglass Cloth,Fiberglass fabric,1,Ideal for composite layups,$18.00,$18.00,https://www.amazon.com/Fiberglass-Glass-Inches-Fabric-Surfboard/dp/B0B3SXHSDP
19,Total,, , , ,,$381.45,
