,,,,
,Boreas BOM,,,
,Component,Link,Qty,Price
,Shock Cord - 1500 lb,https://www.mach1rocketry.com/product-page/kevlar-shock-cords,1,"6,5"
,29mm MMT,https://www.mach1rocketry.com/product-page/fiberglass-motor-mount-tubes,9,"11,25"
,Centering rings 38-29mm,https://www.mach1rocketry.com/product-page/g10-fiberglass-centering-rings https://www.mach1rocketry.com/product-page/g10-notched-fiberglass-centering-rings,1,8
,Respirator M3,https://www.amazon.com/3M-7513PA1-Professional-Organic-Respirator/dp/B0009JNF1I/ref=sr_1_10?crid=344H3AKO77EYS&dib=eyJ2IjoiMSJ9.xXourSf1N8TvkUy6HSpviiqj986rrAd-t-1f6dtleuoUDCM7j_iKA1B8Kd2sWRNh9mxUBMnWfD44fyVky8od8dUY6QIy1q1qFt9hzm-Hg8rCMn3tHUtw1kjLCFE4rs9DfBXyojcPzRyOwPobGhh0FOyrkR8GcWZWI2N9XhRhJKqvSJpetkZ8dy9UNTWbqeK326fVUiFhj7ZD3qAc8YXX31EkHV2QVzjWDoFyBZY7EAbTSbo4F4eLITFiYlt_Y3Kz5bnhzNd7eUe-c29HHelFKC4tCpLbjvJFviYz6bf_Shk.8Y2fhlYiNUm1iuRstgEdIFyR0vpl5wUP6BN2q7-oAZg&dib_tag=se&keywords=3M+respirator+mask&qid=1756225256&sprefix=3m+respirator+m%2Caps%2C418&sr=8-10,1,45
,I-205 14A 29mm motor,https://aerotech-rocketry.com/products/product_6195f3f3-6684-3bea-d54d-0b09b58c0427,1,64
,Light fiberglass sleeve ,https://sollercompositesllc.com/product/remnants/,15,"7,95"
,40mm Airframe ,https://www.mach1rocketry.com/product-page/fiberglass-airframe-tubes,3,39
,38mm Avbay tube ,https://www.mach1rocketry.com/product-page/fiberglass-coupler-tubes,5,"8,75"
,.9 grams charge wells ,https://www.mach1rocketry.com/product-page/charge-wells,2,8
,Egg timer quark (backup),https://eggtimerrocketry.com/purchase/,1,25
,High tel (My computer),https://jlcpcb.com/,1,-
,Terminal blocks,https://www.mach1rocketry.com/product-page/terminal-blocks,1,"2,5"
,M4 Eye nuts,https://www.mach1rocketry.com/product-page/eye-nuts,3,6
,"Drouge chute (9"")",https://www.mach1rocketry.com/product-page/top-flight-thin-mill-parachutes,1,6
,"Parachute (24"")",https://www.mach1rocketry.com/product-page/top-flight-thin-mill-parachutes,1,19
,Table top epoxy (2 quart),https://www.totalboat.com/products/table-top-epoxy-crystal-clear-resin?variant=43150894661856,1,34
,Aeropoxy ES6209 kit,https://giantleaprocketry.com/products/aeropoxy-structural-adhesive-kit-2-gallon?variant=37741182386348,1,40
,,,Total,"330,95"
